2019-10-21 20:56:26 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,13; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 934.0; Tile: ROAD
2019-10-21 20:56:26 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,13; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 933.0; Tile: ROAD
2019-10-21 20:56:27 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  8,13; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-21 20:56:27 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  7,13; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 931.0; Tile: ROAD
2019-10-21 20:56:28 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  7,14; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 930.0; Tile: ROAD
2019-10-21 20:56:28 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  7,15; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 929.0; Tile: ROAD
2019-10-21 20:56:29 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  7,16; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 928.0; Tile: ROAD
2019-10-21 20:56:29 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  7,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 927.0; Tile: ROAD
2019-10-21 20:56:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  8,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 926.0; Tile: ROAD
2019-10-21 20:56:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  9,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 925.0; Tile: ROAD
2019-10-21 20:56:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 10,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 924.0; Tile: ROAD
2019-10-21 20:56:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 11,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 923.0; Tile: ROAD
2019-10-21 20:56:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 12,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 922.0; Tile: ROAD
2019-10-21 20:56:32 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 13,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 921.0; Tile: ROAD
2019-10-21 20:56:33 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 14,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 920.0; Tile: ROAD
2019-10-21 20:56:33 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 15,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 919.0; Tile: ROAD
2019-10-21 20:56:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 16,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 918.0; Tile: ROAD
2019-10-21 20:56:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 17,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 917.0; Tile: ROAD
2019-10-21 20:56:35 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 18,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 916.0; Tile: ROAD
2019-10-21 20:56:35 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 19,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 915.0; Tile: ROAD
2019-10-21 20:56:36 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 20,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 914.0; Tile: ROAD
2019-10-21 20:56:36 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 21,17; Parcels:      1; Health: 180.0; Health Usage: 200.0; Fuel: 913.0; Tile: ROAD
